(.venv) C:\Users\hunter.mamawal\Classes\CS474_phase2\p4>python full_p4.py
All unit tests passed.
  Trial 11/30: 0.000062 seconds
  Trial 12/30: 0.000064 seconds
  Trial 13/30: 1.660969 seconds
  Trial 14/30: 0.000040 seconds
  Trial 15/30: 1.389305 seconds
  Trial 16/30: 0.000054 seconds
  Trial 17/30: 0.000045 seconds
  Trial 18/30: 0.000066 seconds
  Trial 19/30: 1.610324 seconds
  Trial 20/30: 0.000085 seconds
  Trial 21/30: 1.637399 seconds
  Trial 22/30: 1.514997 seconds
  Trial 23/30: 1.515746 seconds
  Trial 24/30: 0.000044 seconds
  Trial 25/30: 1.547044 seconds
  Trial 26/30: 1.377043 seconds
  Trial 27/30: 1.445613 seconds
  Trial 28/30: 0.000060 seconds
  Trial 29/30: 0.000042 seconds
  Trial 30/30: 1.499039 seconds
Testing NFAs with 250000 states...
  Trial 1/30: 4.378388 seconds
  Trial 2/30: 4.856267 seconds
  Trial 3/30: 0.000062 seconds
  Trial 4/30: 4.232027 seconds
  Trial 5/30: 4.830439 seconds
  Trial 6/30: 4.822375 seconds
  Trial 7/30: 0.000040 seconds
  Trial 8/30: 4.717848 seconds
  Trial 9/30: 5.052084 seconds
  Trial 10/30: 0.000042 seconds
  Trial 11/30: 4.599412 seconds
  Trial 12/30: 0.000038 seconds
  Trial 13/30: 0.000057 seconds
  Trial 14/30: 4.422111 seconds
  Trial 15/30: 0.000066 seconds
  Trial 16/30: 0.000073 seconds
  Trial 17/30: 4.493676 seconds
  Trial 18/30: 0.000073 seconds
  Trial 19/30: 4.158862 seconds
  Trial 20/30: 0.000095 seconds
  Trial 21/30: 4.816427 seconds
  Trial 22/30: 0.000037 seconds
  Trial 23/30: 4.582702 seconds
  Trial 24/30: 4.356639 seconds
  Trial 25/30: 0.000069 seconds
  Trial 26/30: 0.000054 seconds
  Trial 27/30: 3.888307 seconds
  Trial 28/30: 0.000074 seconds
  Trial 29/30: 4.428487 seconds
  Trial 30/30: 4.647258 seconds
Testing NFAs with 500000 states...
  Trial 1/30: 8.772481 seconds
  Trial 2/30: 0.000037 seconds
  Trial 3/30: 0.000047 seconds
  Trial 4/30: 0.000051 seconds
  Trial 5/30: 10.503194 seconds
  Trial 6/30: 9.534234 seconds
  Trial 7/30: 0.000081 seconds
  Trial 8/30: 9.296632 seconds
  Trial 9/30: 0.000065 seconds
  Trial 10/30: 0.000048 seconds
  Trial 11/30: 9.760357 seconds
  Trial 12/30: 0.000056 seconds
  Trial 13/30: 0.000176 seconds
  Trial 14/30: 0.000070 seconds
  Trial 15/30: 9.350141 seconds
  Trial 16/30: 10.083567 seconds
  Trial 17/30: 0.000053 seconds
  Trial 18/30: 9.603953 seconds
  Trial 19/30: 9.330551 seconds
  Trial 20/30: 9.878320 seconds
  Trial 21/30: 0.000054 seconds
  Trial 22/30: 0.000052 seconds
  Trial 23/30: 9.463201 seconds
  Trial 24/30: 10.006906 seconds
  Trial 25/30: 8.880422 seconds
  Trial 26/30: 10.276915 seconds
  Trial 27/30: 0.000055 seconds
  Trial 28/30: 0.000064 seconds
  Trial 29/30: 10.997838 seconds
  Trial 30/30: 0.000069 seconds
